BF_Name,BF_Acreage,x2,y2
West Worthington (RN),0.28,1444398.42494147,537368.439235389
Water's Oil,5.94,2576490.60793105,657222.999722645
Swift Adhesives,5.36,1435140.70198713,497713.096958309
Universal Stainless,8.13,1428805.40691496,502066.998027399
Brookford Street,10.84,1419356.3444483,505502.280526891
Ecusta - Tract G,12.99,893857.437442973,572690.345625564
Mitchell's Formal Wear,6.61,1440125.49418288,529018.756787807
Charlotte Chemical Laboratory (RN),2.67,1447029.04992956,539311.418289065
South End Transit,22.41,1442981.60165964,534782.44539164
Radiator Specialty,27,1441401.45357323,541884.062093899
Hutchinson Shopping Center,5.49,1453811.44154847,549792.639452562
Charlotte Army Missile Plant (RN),24.06,1452780.66145781,550446.802186221
BASF Facility,12.86,1440611.21269964,561734.788796559
Baxter Oil (Former),0.21,968809.716343895,584562.990843475
West Pharmaceutical,26.5,2413421.88518463,573254.712607056
Asheville Ice Plant,3.14,939160.4367318,687666.670790568
Deal Motors,4.61,943784.917640299,693657.24706398
Bosch Tool Facility,10.64,2487219.16180238,695636.941923484
Burke Mills,37,1235431.34386072,737291.872392982
Garco,11.33,1757546.18611188,734741.270538807
Contemporary Art Museum,0.56,2105095.78825539,737873.490652308
NACCO Materials,27.55,1240957.66810989,791544.988295972
Piedmont Triad Research Park (Southern),40.64,1635202.30776864,854452.551128894
Athol,21.1,2073370.5738188,868650.375423476
Procter Property,7.1,2461827.92977655,1003412.16397023
Abbott Laboratories,50.75,1863446.58126606,382530.91262497
Cedar Creek,171.82,2064854.64400031,448956.38705723
Piedmont Triad Research Park (Northern),49.02,1633954.0943858,858332.259576812
Broyhill Furniture,26.45,1341561.0039763,717670.945755646
Schrader-Bridgeport,10,1513994.48686455,467470.347076476
Duke Power MGP,3.938,1767927.7260443,846776.086823061
RBC Tower Parking Deck,1.2,2107520.93497989,737636.176166311
Triangle Drive,2,2074787.67990847,780195.869918138
Double Oaks,58.54,1450759.26917514,551911.969203398
Avery Dennison Corp (RN),11.83,1764796.34352756,834889.952458888
Wix Filtration - Allen Plant (RN),31.24,1335991.51347488,562986.800728232
Hondros Property,16.39,1435015.23176564,509337.892934397
Color Works II,4.35,1767910.30416314,829966.615848899
Hilemn Laboratories,0.923,1749719.48326139,841905.840329975
Hanesbrands Theatre,0.46,1631238.38590647,856197.426576138
Rachel Street,0.52,1453711.8131388,551992.38177222
Block 46,28.35,1365465.45190223,883143.821830228
Virkler Facility II,4.01,1434259.56234522,530095.941313222
West Tremont (RN),2.18,1443046.07626823,537150.982649311
Austin Foods II (RN),2,2067401.81115006,742750.179717809
SPATCO (Southern Pump and Tank Co.),2.97,1638976.78709631,855045.79830198
Cotton Mill Square Addendum,2.392,1747513.0719918,841457.977380559
Clarkson Street,19.96,1445079.87272555,542594.8579164
Deutsch Relays,1.5,2328416.50138997,193595.536887556
The Old Wood,0.49,939218.886089966,687889.880645975
Raleigh MGP,4.44,2104432.53564489,737251.101149067
Burlington Industries - Durham (RN),6.38,2022372.84313731,821972.159724981
Camden Square Addition,4.5,1443463.76342498,537581.808887392
NC Equipment II,0.99,2095166.98199755,742456.469347224
Ecusta,213.41,894153.926351309,572173.385701478
Leary Brothers,4.2,2707315.57659556,852572.483694807
Texfi Industries - Fayetteville,79.07,2039200.64412731,485553.730200976
Padgette Lane,0.97,1979853.86091822,785991.336017475
Sun Chemical Facility,5.26,1636964.52373239,868637.512588307
Tyner Street,2.36,1474790.32249089,564859.987270564
Motor Werks,2,2100137.42054747,742521.733652398
Ecusta - Tract F,119.92,897960.515522882,567369.02687189
Piedmont Triad Research Park (Central),51.7,1634927.00516963,855983.838420644
"Baker Property, Former",3.18,2044807.55482946,693358.433357149
Kolortex Facility,13.27,1424958.3647403,532117.103281394
Honeywell (aka Jengor-Mars Hill),31.57,945248.377311811,776957.194965065
Parks Suzuki / Parks Holdings,1.94,1696614.7938673,815265.426091224
West Lee Street Shopping Ctr,1.51,1762404.6366968,842921.292695388
PTH Park,10.03,1957916.43760155,618010.226442307
Crown Honda,10.94,1479995.8747438,520252.311722308
Dollar General - Burlington,1.64,1848420.50272247,848998.008560315
JH Duncan Oil (RN),1.38,694059.754361972,551037.813471392
Prestige Label,5.6,2325234.97067955,290029.833519891
Wetsig Yachts,4,2334074.71743572,179349.602781057
The Standard at Boone (RN),4.67,1211695.71711947,904804.973717809
Green Valley Office Park,28.5,1758416.45471255,852662.454643473
Gastonia Poplar,7.39,1338852.40539089,560081.566053137
Ecusta - Tract E,195.69,895622.630762964,574136.477575809
Wrightsville Avenue,0.77,2328283.41668239,175403.638232067
Owen Manufacturing,22.18,980987.075519308,695090.442032233
Imperial Campus II,6.84,2482006.62498339,680637.007684559
The Foundry,3.44,1446190.58375873,543050.076494142
4th & Broad Streets,0.35,1629737.30032597,856630.572035313
Stanhope Center,4.28,2095783.70484547,742267.025500387
Colonial Abrasives,11.11,1871989.05663514,501895.986558393
Tremont Redevelopment (RN),7.8,1442996.48384772,536670.191616148
Orbit Energy,13.06,1459532.94191647,555650.630361229
Craighead Road (Abernethy Lumber),10.03,1462916.95581771,551201.291162804
National Color Graphics (RN),4.29,1457169.22912422,540666.150815815
Olympic Mill,17.25,1769979.81839681,855259.508176401
955 Brookstown (RN),1.83,1629075.48242389,856212.175562397
RP Scherer (RN),9.02,1552900.2033443,450950.681625053
Hendrick Durham Auto Mall (RN),9.9,2029818.09924413,815269.075362146
AquAir II,153.92,1411100.93346572,507506.905454651
Charlotte Casket Company (RN),5.41,1457599.6341033,540550.97453697
Moore Place (RN),1.97,1454211.35446255,551995.88209331
White Flowers (RN),1.47,1456744.88318814,537629.03024964
Caroline Courtyard,9.77,1331678.81212655,639237.104264066
Residences at Gateway Village,4.8,1446849.24746764,545856.336629644
West Penn Hardwoods (RN),18.64,1332408.6758243,721862.82910414
Phoenix Recycling,13.92,2617167.74967372,434792.710004061
Lexington Home Brands Plant #1,20.5,1627787.63460588,755541.688911647
Riverside Drive,1.8,938289.201597631,689326.181579143
CHT Facility,4.5,1438419.75185947,522720.760197475
General Marble,21.82,1332641.03264305,639578.924446568
South Bloodworth - RFRU,2.24,2108632.70605031,731884.721133813
Faile's Mini Mart,0.54,1352303.1399723,554275.422481731
Alro Steel Facility,10.8,1709662.30222106,851742.980760649
RAD Lofts,2.88,940308.996770635,687197.733736306
Market Street Storage (RN),4.9,1747987.92471664,844678.675663561
Precision Dynamics,2.27,1452629.36910947,550941.687351316
3rd and Poplar,0.6,1448504.61620414,542802.690177888
RayChem Corp.,8.67,2057521.60781339,679090.899884388
Seneca Place Shopping Center (RN),4.2,1439626.98796205,521596.200766817
NC Music Factory Apts (RN),3.62,1450674.26868898,546698.34019497
1213 W. Morehead (RN),1.85,1444004.5136558,543323.835132971
Lakeview Residences (RN),5,2016419.4180363,823043.82949765
NoDa Textiles (RN),6.92,1460626.91052905,550244.343273565
Elkin Chrysler II (RN),6.16,2029096.03638381,815585.702353567
Dunavant Street,4.22,1442703.06875214,535893.696121901
The Graduate (RN),0.67,1982336.64138572,786485.994148895
Belton Street Homes,3.3,1442104.28812556,531586.47770223
Simpson Oil Company,0.67,693831.736445308,551253.056151137
Sackville Mill,9.38,1241309.3875508,565210.695886731
Parkwood Station (RN),3.49,1456026.7730758,546163.320595726
Drexel Heritage,15.29,1104875.16599722,716103.641147479
Scottish Rite Temple (RN),6.1,1462918.74780889,522362.38197723
East 7th Street Storage (RN),1.06,1453436.31303364,540850.847624898
Dilworth Mattress,0.43,1443306.38283423,536937.406304806
Washington Mills,13.35,1715863.07918955,969321.675064728
Maiden Lane,3.36,2099863.03887838,741950.220031649
Former Crown Honda,6.51,1993675.60066314,796649.444950566
Performance Auto Mall,12.93,1997262.80247822,798686.908395305
Varco-Pruden (RN),26.72,1676507.6608533,870844.661389232
Peden Steel Redevelopment,18.59,2113023.83932839,749299.853298232
Chestnut at Blowing Rock,3.61,1209509.23625623,876446.574069887
Franklin Baking Co.,2.92,1872396.18410172,844905.694894567
Chadbourn Mill,5.75,1458868.85039689,548364.078333303
Ark-Les Laboratories,5.68,2122225.20740855,745115.57754606
Blue Ridge Textiles,5.46,1426437.89819856,750134.298151642
Former Belmont Dyers,11.03,1398574.92472513,548383.546142146
Purple Heart Homes,11.9,1442233.72290605,742285.872247473
Carolina Tank Cleaners,42.39,1713818.38970938,867550.604329064
Former Durham Collision Center,2.16,2030239.37202364,815022.713650137
3500 Yonkers Road (RFRU),5.1,2122792.81814997,744416.336490482
TKC Garner Land,14.01,2125685.0420243,719279.348378733
Pitt County Bus Garage,22,2473992.69022389,666245.454774812
Eagle Island,31,2316321.38220756,176780.922550976
Woody Drive,21.73,1885384.42124856,841157.520304307
Taylor Salt & Chemical,3.74,1436678.24254721,551163.80698581
Berryhill Road,1.61,1440105.33477439,545985.281253651
Palmer's Automotive,0.54,1443228.37544431,537833.902543306
"Wentworth Furniture, Former",4.38,1349668.90639564,715294.582398146
Hoke Street Passage Home,3.4,2109050.84268121,732760.076994643
Peace Street Phase II,3.32,2105628.22091755,741832.350188643
Arbors at East Village II (RN),3.76,2164592.65843463,688862.415446311
Reman Properties,20.37,1947973.54967897,710720.3582789
301 Hillsborough,.5,2105742.40376006,739069.664441064
South Boulevard Carvana,1.95,1440276.65825063,530001.442158401
Spring Ford Knit Co,9.48,1359988.51830231,562976.453964144
Thrift Rd II (RFRU),2.82,1440421.25540239,545792.814775065
Dicey Mills,24.67,1233919.26912896,569863.306004062
Fuquay Varina Arts Center,3.69,2059831.21769547,668313.097621143
Osage Mill,5.17,1318380.22717522,565791.021169648
East Craighead Storage,15,1462395.61991814,551760.001987651
Five Points Gateway Redevelopment,1.8,1536753.67986314,452098.787596554
Corona Auto Repair,1.15,1637279.03589864,845888.719503313
Stanley Furniture - Graham,37.47,564219.297179893,606465.588114306
Adams Property,1.98,1441917.04473364,537277.969271973
Block 42,3.55,1451571.31249855,543457.430666313
Vivi-Color Graphics,0.91,1770736.73387772,829163.68832089
Doblin Mastercraft,22.67,1210160.19427189,729331.983785227
Rexnord Industries,79.22,1170027.30275306,722576.094409898
Knob Creek Property,22.67,1223344.37394021,731267.493693724
Calsto Heating & Cooling,0.81,1594673.68246122,855862.165435642
Trenton Cotton Mill,6.83,1345745.75446506,558002.876969054
Ideal Tool & Die,0.52,1439851.01572922,533487.307890058
Highland Mill #3 - East 33rd Street,0.82,1460064.37392446,549477.330043808
Clarke Power Services,34,2567788.46391806,495238.070084229
Howerton-Byran,1.45,2026386.98110639,819050.558940888
Tremont Music Hall,0.86,1442272.50071564,537144.929183722
Hamilton Property,0.9,1442751.8567123,535853.464246973
1300 South Tryon St,0.34,1446225.2611828,539602.025975555
Textile Piece Dyeing (RRU),21.96,1331607.48976263,638463.48737298
Rea Asphalt Plant Addition,0.77,1441933.9429938,533840.920699894
Micromatic Textron,12.95,998724.073509797,690460.088432059
Matthews Morse Supply Co,1.65,1440888.60912646,542131.693488389
The Patton,1.57,941445.731701881,689617.465773478
Narsi Development Salisbury,1.47,1560708.80550922,691992.651311815
Piedmont Plating,4.5,1777828.19311997,847722.917934641
Woodfin Auto & Salvage,3.3,930261.128414974,702084.351600811
Wepak Corp,1.37,1445225.26187047,540122.31922631
Townsend & McCrary Site,34.3,1866693.23159689,721226.615481555
Storage Max,1.39,2111543.12477013,748937.208026141
Leonard Oil Plant,1.09,1636299.02539147,847006.077832893
Yons Property,26.96,1418223.56193697,507287.853071228
BASF Enka Landfill,29.88,915835.089353725,673983.544941649
South Graham Tower,0.67,1447504.85179947,542995.561511308
Salem Paper,2.83,1627490.4222738,858578.821419641
Hanover Center,39.03,2331305.04088847,171521.365156725
Witherspoon Nursery,8,2002771.57262863,801415.99250406
Life Science Building,3.9,2483524.31715797,679621.177039057
Overture Cary,7.03,2045170.06854014,755158.394730732
Acme United Corp,12.69,2303390.79192705,652221.28006731
South Street Condos - West,1.74,2104068.64267188,736142.458025143
Arrive Wilmington,0.72,2318266.16801614,177807.714132562
Ezzell Trucking,14.54,2308441.24868964,198692.989619151
Fayetteville Mixed Use Development,2.07,2034722.14258564,474948.467290804
Guilford Mills Redevelopment,40.94,2058096.67031156,678123.882461473
Little Rock Road,4.9,1419649.0151228,546472.901997566
Sterling Mill Lofts,8.57,2160628.72312105,855803.327298731
South Saunders Street Assemblage,9.15,2104430.8089423,734687.206670567
West Club Boulevard,2.51,2026562.96631873,825449.349292889
High Point Multi Stadium,11.35,1700666.23031822,805594.442152396
West Main Street Assemblage,0.79,2026074.37083922,819349.00814715
Granite Mill,10.06,1891327.31520264,852019.227255389
Organic Production Services,0.39,2408230.78729914,979320.097981229
McCall Farms,12.35,2326686.37099198,710149.051022559
Southern Wood Piedmont,90,2317368.63634664,170559.075742722
Maxton Feed Mill,351.34,1891890.81210713,367993.553904474
Homewood Banks Apartments,16.02,2094397.19777597,759097.949515641
Former Clinipad,50.58,1471867.19415081,564011.775712401
South Tryon Commercial,2.39,1442800.12564464,537216.437898979
Charlotte Naval Ammo Depot,17.08,1420125.30058755,504430.457211226
Charlotte Aircraft,8.31,1485274.34811072,537151.393081561
Harding Office,0.5,1450983.95474939,536165.504633397
Singer Furniture Bryson City,20.5,672088.35178256,638570.315899476
Brightwalk Phase VI,3.54,1451778.97907797,551243.83405672
Powerhouse Square,3.2,2104936.18686855,739779.112825304
Glenwood Square,2.02,2104126.26591621,739158.35684897
Norfolk Southern Intermodal Facility II,2.54,1454854.23736313,545603.139629483
Westinghouse Electric (RN),0.51,1440367.47204539,542839.357427388
Quality Products Co,0.51,1444197.60808589,539712.020178139
Motor Pool (RN),1.33,2108028.96349138,737107.997432649
Westinghouse Electric Meter and Light,32.25,2118581.74586347,751787.126538888
Cone Mill - Greensboro (RN),21.17,1771856.36549672,856556.797576562
Ward Transformer Co (RN),34.54,2067823.99403273,782608.671851054
Big Bertha Service Station (RN),3.14,1451998.34970222,546954.316060975
Pfister Dyes & Chemicals (RN),5.75,1459546.03309764,561236.965645224
Woodlawn Green (RN),19.77,1437051.93766597,524735.647243813
NC State Tailgate Parking  (RN),18.4,2085718.07208964,746486.015750065
WWAY,1.7,2317377.29282539,180909.555369809
Jim Griffin Roofing Co (RN),1.013,1445709.94397198,541171.350264728
Upper Dean,5.19,2317664.57637155,183313.556795388
McBess Industries,30.35,1344083.01992963,607063.031145141
Gulf Refining Co,0.96,2114559.93960264,565228.010156557
Durafiber,515.28,1522676.86156014,718970.843418315
K Town Furniture (RN),7.7,1515797.80838914,640212.886761308
Asheville Dyeing and Finishing,40.39,980558.885758892,695712.916837141
Yorkshire Drive (RN),3.17,1438888.05243206,530771.905840561
Fairey Finishing Plant (RN),4.33,2034796.27596755,809282.477755308
BASF-New Hanover,586.8,2301453.16161597,213573.52875565
RJ Reynolds,3.28,1633075.34187822,856213.568604231
Clayton Spinning Mill (RN),32,2163754.04331397,690538.714915231
Fishburne Lanfill,11.69,949669.684414059,638432.653117061
1300 West Morehead Street,0.36,1443834.74693497,543610.66067481
Metromont Concrete,18.51,1463983.96615088,552735.151940227
Boy's Esso Service Center,1.22,2022991.94229281,820945.007907897
Matheson Ave II,14.43,1458976.67006314,550107.244138315
301 Hillsborough II,1.85,2105527.61875655,739077.429517388
Associated Engineering,2.45,1486366.83477089,500805.992019221
University Place Mall,39.5,1991871.62592463,792757.70634298
Venable Tobacco Company,3.76,2029849.59491606,815882.321839064
Youngs Service Station,.35,1450318.13423064,541515.361059651
Johnson's Arco Service Station,0.66,932307.726683974,684311.403222889
Wheat Fields Development,5.32,2146060.8437923,798524.671186983
Cone Mills-Pineville,28.3,1432690.55268797,490886.376359805
S. West Street,0.29,2104881.85036306,737842.988416731
Chemstreams Inc.,2.9,1497963.43559338,490021.680582643
Thomasville Plant H II,4.18,1633956.41393498,861310.50394839
Eastway Plaza,25.25,1469018.47707923,551303.96681048
Carolina Coach Co.,3.86,2107852.46810947,733672.186390892
2100 S Tryon St,2.82,1442310.25490522,536767.268521726
Charlotte Oil and Fertilizer Works,2.21,1443825.79386888,536243.89259997
Charlotte Packing,11.11,1448128.70717905,547893.173435226
Wade's Amoco Station,0.17,1633111.63839355,861575.533602059
Former Erwin Mills,55.25,2095570.81189856,574593.241097972
Monsanto Co (RN) GlaxoSmithKline LLC,107.17,2039796.77318439,789396.76063706
Calsto Heating & Cooling 2,0.81,1594695.87664255,855815.694071889
NCDOT-CC Mangum-US64E,55.99,2134534.31271155,744537.134805307
Radiator Specialty Tract E,10.02,1440636.45641555,541847.702258483
Smokey Hollow 2,3.43,2105247.06288722,741280.173143387
Liggett & Myers Tobacco Co,2.79,2028157.24659473,819156.927166477
MB Plating,1.5,1701712.66457705,790104.101742059
"ATCO Rubber Products, Inc",3.28,1751282.97488505,841086.760603309
Worthville Mill,6.8,1769383.01348805,747594.430199891
Philcron Automotive,1.55,1443585.95215698,536156.186082482
Okey Hosiery,1.16,1445125.41823813,537689.377569899
RSC Indian Trail,73,1505531.09303021,481829.582465559
Pittsboro General Store,1.48,1947177.68512897,717077.738608733
Consos Chemical Facility,28.6,1450901.83450681,564975.988350898
Tarheel Army Missile Plant,22.15,1879443.22775039,854842.138932392
Gathings Motor Company,4.88,1446351.46467055,539957.378611311
Seaboard Station (RN),6.72,2106878.76369205,742472.917477056
West Boulevard,1.8,1444284.19354264,537967.028261304
B&M Motor Works,7.38,2080675.3741698,740826.793144643
Jimmy's Gulf Service Station,2.49,2095864.34871306,742634.365973055
Former Cottman Transmissions,4.77,1465352.53034289,551708.554255888
Tyvola Road Former Landfill,20.95,1436014.63363822,520462.988794401
"PE Valve Manufacturing, Former",1.63,952822.793593392,671356.946192235
Washington MGP Site,3.57,2577308.12565297,659375.64043048
Texfi-Haw River II,18.36,1892412.61257271,851949.10075523
Moyock Muscle,5.2,2827434.18445496,1024557.27128623
Berryhill-Thrift Road,3.83,1440218.37916772,545778.711456805
University Ford,11.19,2027617.16466963,816715.120698392
Parker Zenith,5.27,1868930.13361913,504618.656309888
Ciba Specialty Chemicals Facility,0,1635957.67075922,584749.6043154
Blevins Oil - Andrews,,557726.756031141,562692.358075649
Asheville Industries,,952369.673108548,642847.631163731
Day Warehouse,,939738.427373722,684317.46751523
WNC Stockyard,6.5,937816.83443214,688385.807147563
Broad Street Development,4.61,944040.517522797,693654.214261651
Liberty Engine Parts,2.17,1458592.52778681,556772.047409728
Abernathy Lumber II,13.84,1463063.05395073,551567.56930165
Zagora - New,1.41,1445487.3689578,540213.917140231
Freuhauf Trailer Corp.,0,1453330.18758972,547158.779890895
North College Apartments,0.93,1450696.62592772,542985.685218722
Northend Square,7,1451702.19314231,549345.387722388
Mount Hope Machinery,2.96,1434109.09971964,539101.398039818
Central Avenue Apts II (RN),1.84,1460497.27299306,539910.796027318
Cliffside Mills Property,0,1171616.38422056,557434.317082554
Interpane Glass,19,2208033.91046272,453798.3445649
Collins & Aikman,0,1525624.85139905,600809.329413727
Cooleemee Cotton Mill,17.9,1538371.86855589,752381.550874978
Webb Metals,4.37,1351691.04408364,584155.052682981
Wrenn Field,16.63,2044255.32135388,799374.278411642
Chapel Hill Road Site,0,2022119.8790763,814770.67576839
North Mangum Street Properties,0,2030650.04869571,818955.280916229
Counter Culture Coffee Facility,2.42,2033057.59637405,817929.95193015
West Village Expansion,0,2027427.86157055,818474.838307559
Wrights Executive Sales,0,2029559.58893439,820196.616031975
Ellis Road Property,0,2038948.56359471,807943.646771565
United Methodist Retirement,0.86,2016434.80514464,822068.15362747
Coffin Shop,0,2028763.05837522,820488.449765891
Elkins Chrysler Mitsubishi,6.21,2028772.2515983,815432.160993978
American Tobacco Historic District Phase II,0,2028599.13580281,816790.974549309
Heritage Square,6.33,2030543.75133614,814598.505180985
Unity Oil Company,0,2033697.57934606,813527.156929985
Solectron,0,2043894.13834922,784571.66792506
Old WNC Fairgrounds,,976418.35007672,577720.958595812
Leary Brothers Storage,0,2707381.53873397,852914.412472889
GP Bowdens Sawmill,70.86,2264551.63535355,476884.72457315
Texfi Industries,0,2039314.93097222,484926.670759559
Burlington Textile Manufacturing,0,2028602.38907714,464640.674586222
Wellman Site,0,2063550.07705563,450694.135550231
Norcap Plant,0,1361036.46010405,563174.492938146
Talley Laundry Machine Company,0,1741770.97750489,836674.480713978
Cone Mills Plant,0,1771642.67924431,856346.699899644
"Color Works, Inc.",0,1768131.06422031,830263.694322973
LaRoche Site,0,1768950.21710956,833812.037291899
Guilford Orthopaedic Property,0.83,1757056.7005423,852844.93557772
Traders Chevrolet,0,1769321.1642023,850989.176493972
Tar Heel Lift,0,1720416.97428122,847665.039441481
United Metal,1.59,1766417.64179413,829871.265317812
AMP - N. Church St.,0,1768335.91945364,852548.140895724
United Metal II,1.59,1766417.64179413,829871.265317812
"S & W Chemicals, Inc. Facility",6.65,1297836.03565213,728851.255415976
Pillowtex Plant 4 and Substation,0,1515144.65549597,638083.647253394
Anvil Knitwear,14.9,1303364.1276143,554791.480504721
Glen Raven Mills,0,1299365.93744797,562893.339300975
Lexington Furniture  - 1,0,1610931.84581096,735868.230555221
Ingles Grocery & Gas,16.81,1338695.23510155,636588.082987309
Cochrane Furniture,0,1331717.55909631,634394.141509056
Liberty Embroidery Facility,0,1715224.35999456,961781.955236062
ESTUL Tools & Manufacturing Company,2.08,1484641.58264397,502961.095320568
Rexam Facility,0,1488841.01912697,501655.491304472
Tultex - Mayodan,0,1715025.68847589,968706.577869728
A. O. Smith Facility,42.02,1922324.54749939,849885.797139063
Webster Property,0,1919133.4570968,853985.05829747
Sutton Park Shopping Center,0,1542864.34119822,453368.623967647
North Main Tex,0.49,1466935.60526071,674545.690798983
Morehead Machine Shop,0,2689042.19417913,361821.066249475
Home Innovations,0,1701843.12724264,402832.784750804
Kilgore Oil,,495511.504805714,528298.605340973
Yadkin Brick Yard,0,1653524.76882705,622478.859565392
C.C. Mangum Property,0,2080690.46600313,742337.113614812
North Hills Mall,0,2106559.80796513,759609.135173068
Gresham Lake Lane,27.19,2123164.01885113,777153.08728981
AVX-Raleigh,32.55,2117638.23101822,757427.265521064
Harrington Street,1.43,2105397.04454264,741047.128661975
South Blount Street NFI,1.33,2107754.93319955,737128.744110316
Garner Rd Industrial Park,0,2109318.73322156,732616.131744474
Veach-Wilson Oil,,568493.669864714,606412.06755206
Bromma Property,0,2005077.50896163,951138.102836147
J. G. Hardison Site,14.09,2005128.47277047,948775.960578814
Tultex - Longhurst Mill,0,2010469.27344055,972196.970167145
Norman's Property,0,1564105.02673514,701680.529573813
Whitin Roberts Development,0,1948408.68496355,629552.551126644
Doran Mill,50.74,1232354.98452789,575212.16899398
Shelby Dyeing & Finishing,0,1233263.84524298,575896.729960814
J & C Dye & Finishing Co,0,1233254.29670563,575879.515756398
Sparta Teapot Museum,0,1377213.90576747,1012442.63212973
Shelby Williams,0,1429812.29368073,748738.978763804
Flowserve Facility,8.85,1454394.72483072,756030.1771079
Cortina Fabrics,19.59,1894079.42354356,824838.395462304
Pugh Auto Crushing Company,0,1671071.94501872,781076.870780811
Park Boat Company,0,2577606.97708939,659453.170131058
Hamilton Beach,39.45,2575807.4508328,671975.780256391
Riverman Project,6.94,2317722.35939246,174965.398622975
WSFX Television Studio,0,2325487.42227438,174692.835519806
North Terminal,0,2317500.52387814,161211.759135559
Dean Hardwood - old,11.07,2317091.07817473,183316.943271562
CSX Riverfront,0,2317293.9836088,180424.665263474
Stratford Metal-New,0,1632430.01803763,851729.059856728
Unity Place,0,1629737.75603372,855922.556062892
500 W. 5th (RN),4.31,1630832.1636218,857362.634547561
Restoration on West 5th (RN),4.31,1630928.3031933,857375.451451063
Western Electric-Winston Salem-OLD,5.96,1629405.79705197,859529.358232483
Brookstown Avenue,1.85,1628964.00462846,856200.826831818
Andy's Heating & Air,0.25,944473.334242463,688763.769974306
Providence Place,1.44,943397.094597057,687625.044561476
Silverman Project,4.46,947623.781025559,681177.883243233
Slosman Property,,947518.787141055,680096.508765563
Felkel Oil,,926248.473054469,690067.740135387
Rankin Patterson,,947593.755166978,679736.268344313
Minico Bldg,0.15,944099.703756139,691467.926639482
Pace Boat and RV Park,,2709877.63315122,360418.108097389
Ecusta II,527,894158.162235215,574594.933351815
OMC/BOMBARDIER,,1029212.61259823,804394.594486475
Bombardier Burnsville Site,,1029194.06079805,804410.190255806
Smathers Oil,,857961.353395388,670812.466966227
Austin Foods,,2067575.80653697,742679.032222316
American Cyanamid,0,1434026.71372956,539568.817380562
Tremont Music Hall,2.43,1442478.44945072,537032.463529393
IBM Facility,201,1473854.18689597,572811.804700226
DynaTech-Hawkins Street,1.67,1443425.08075956,536081.750863895
Carolina Metal Prod,4.2,1443831.44543238,535260.508083805
Ferguson Supply & Box Mfg. Co.,,1459258.51497188,559212.309917644
Rowe Bouligny,,1446360.50336638,541493.887021229
Wesley Village,2.15,1441648.29166222,544274.216762394
West Morehead Addition,,1443937.11943364,543669.951566726
Sears Service Center,11.46,1422807.01733696,502089.742404476
Clawson Radiator,,1445458.52879238,538679.428083226
Dupont- Sentinel Transportation Facility,,1431858.24168855,540771.857625395
South Blvd. MGP Site,,1446448.7430193,538501.406129554
Eastway Crossing Shopping Center,,1468155.6503928,538019.140361816
Eastway Crossing Shopping Center,,1467921.46024439,537093.634010732
Thrift Road,,1441549.87617664,544366.752338484
Park Union,3.58,1445052.00959231,543130.801726401
South End Project - Park Avenue,,1444856.08445922,538048.741680562
Dollar General,0.45,1456758.4054708,537464.110631973
Aquair,,1411359.76070397,509140.788013637
Selinas Learning Center,,1452041.88668863,551489.509090304
NEWCO Fibre Property,,1461018.48192438,550283.492801562
Sharon Cleaners Site,,1453823.22302097,537734.618621141
Virkler Facility,4.01,1434128.87264597,529953.515745059
"Aquair, Former",18.9,1410451.20805913,506917.892525062
Parnell Martin Facility,4.79,1452192.81650488,547710.904114723
ABC Engravers (Old PD),0,1441215.44213422,557388.417896137
TEMCO,2.1,1441352.49566589,537817.796932474
Beta International,38.71,1409474.89275455,506765.817369893
Southpark Apartments,13.14,1450218.28633322,516726.421464399
Stax Gym,13.41,1438276.53298581,530963.37888281
Kaiser Fluid Technologies,5.02,1465022.09793289,551824.834207058
Eakes Drycleaners,,2026790.61776631,819384.977891475
True Textiles (RN),72,1456023.50700621,913518.634768143
Cumberland County Detention,,2036175.98154147,473253.247912228
Sedgefield Specialties,,1732917.3925218,822777.743415639
GlobalTec,2.1,1698724.71451622,795395.703691646
South Bloodworth,2.24,2108534.09437089,732075.823113814
North Craven Street Railroad and Bulk Oil Storage Yard,3.98,2586268.12479331,502485.990955815
RJ Reynolds Area 2A,215,1631353.82432389,870573.602876231
Lace Lastics,6.88,2115931.02872397,928672.713711888
Petroleum World,2.25,1395187.74088272,555770.672772065
South Street Condos - East,.83,2104272.62323505,736138.628964558
Drexel 1 Site,29.82,1226831.17208472,741743.090196565
Mecklenburg Hotel,2.75,1448497.88787113,544234.67878373
Clorox Facility,7.14,1442183.64590646,546356.780182555
Raleigh Union Station Bus,1.76,2104836.91606972,738284.649606898
"Wilsons Pest Control, Former",2.93,1628229.18031073,858811.453828394
Northgate Mall,57.56,2025848.22266947,826326.703181222
Artee Industries,11.1,1322515.98826064,619348.346141398
HP Fabrics (RFRU),22.01,1609029.31287064,838439.085780561
Matheson Ave Creek,6.09,1458714.85661039,550158.44613564
TW Alexander Flex,51.15,2044400.70032822,790488.054714307
Corey Transmission Service (511 West Tremont),5.58,1441782.77728564,536804.51582256
Halifax Regional Medical (Vidant Halifax),84.5,2398800.88096213,978820.01335147
Beltex Mill,20.64,1384502.97091372,555043.973766148
West Salem Shell,4.46,1629553.81808139,855528.727126151
Chapel Hill Police Dept,10.24,1984397.82623972,792048.802905142
Naegele Fairway Advertising,3.33,2106131.5535723,741699.291727722
Youngsville Agricultural,20.18,2146994.98726521,830326.034749478
